2026-05-02 15:47:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: AIXBTUSDT: 1.378% | UAIUSDT: 1.374% | BUSDT: 1.212% | TACUSDT: 1.193% | BTRUSDT: 1.042% | ORDIUSDT: 0.838% | LABUSDT: 0.822% | JCTUSDT: 0.765% | USUSDT: 0.753% | MERLUSDT: 0.700%
2026-05-02 15:48:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: BTRUSDT: 1.142% | COLLECTUSDT: 0.955% | ORDIUSDT: 0.873% | KNCUSDT: 0.792% | ZEREBROUSDT: 0.759% | SNXUSDT: 0.734% | LABUSDT: 0.715% | JCTUSDT: 0.712% | BUSDT: 0.653% | KAVAUSDT: 0.647%
2026-05-02 15:49:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: BEATUSDT: 2.946% | COLLECTUSDT: 1.393% | KNCUSDT: 1.099% | BTRUSDT: 0.794% | JCTUSDT: 0.787% | SHELLUSDT: 0.779% | BLESSUSDT: 0.742% | BASUSDT: 0.742% | LABUSDT: 0.705% | BIOUSDT: 0.699%
2026-05-02 15:50:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: COLLECTUSDT: 1.864% | BEATUSDT: 1.420% | PUNDIXUSDT: 1.172% | BTRUSDT: 0.996% | LABUSDT: 0.878% | BIOUSDT: 0.863% | ORDIUSDT: 0.691% | BSBUSDT: 0.679% | JCTUSDT: 0.604% | OPENUSDT: 0.589%
2026-05-02 15:51:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: KNCUSDT: 2.182% | BIOUSDT: 2.078% | BSBUSDT: 2.065% | OPENUSDT: 1.549% | COLLECTUSDT: 1.547% | ORCAUSDT: 1.473% | HEMIUSDT: 1.293% | BTRUSDT: 0.835% | LABUSDT: 0.815% | JCTUSDT: 0.734%
2026-05-02 15:52:07 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: KNCUSDT: 2.182% | COLLECTUSDT: 1.365% | ORCAUSDT: 1.219% | GUAUSDT: 1.127% | ORDIUSDT: 1.117% | JCTUSDT: 1.047% | BSBUSDT: 0.895% | GWEIUSDT: 0.835% | SWARMSUSDT: 0.799% | BASUSDT: 0.792%
2026-05-02 16:51:03 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: KATUSDT: 0.101%
2026-05-02 16:52:03 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: LABUSDT: 1.855% | FIGHTUSDT: 1.218% | COLLECTUSDT: 1.210% | BIOUSDT: 0.750% | JCTUSDT: 0.738% | XPINUSDT: 0.729% | USTCUSDT: 0.706% | BSBUSDT: 0.595% | BUSDT: 0.582% | ACHUSDT: 0.574%
2026-05-02 16:53:03 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: LABUSDT: 1.604% | BTRUSDT: 0.760% | BLUAIUSDT: 0.715% | JCTUSDT: 0.680% | COLLECTUSDT: 0.654% | BIOUSDT: 0.598% | GWEIUSDT: 0.596% | AXLUSDT: 0.590% | FHEUSDT: 0.571% | BUSDT: 0.528%
2026-05-02 16:54:03 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: LABUSDT: 3.261% | TACUSDT: 1.004% | BTRUSDT: 0.865% | JCTUSDT: 0.847% | AKEUSDT: 0.816% | POWERUSDT: 0.754% | FHEUSDT: 0.712% | ATUSDT: 0.613% | BLUAIUSDT: 0.591% | BUSDT: 0.578%
2026-05-02 16:55:03 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: LABUSDT: 2.695% | BTRUSDT: 0.936% | HEMIUSDT: 0.782% | TACUSDT: 0.781% | BIOUSDT: 0.715% | GWEIUSDT: 0.687% | LQTYUSDT: 0.622% | COLLECTUSDT: 0.621% | JCTUSDT: 0.594% | MINAUSDT: 0.572%
2026-05-02 16:56:03 | INFO | signal_engine | 📊 [MAX SPREADS 1m]: FORMUSDT: 1.123% | ORDIUSDT: 0.828% | BTRUSDT: 0.796% | KAVAUSDT: 0.654% | XPINUSDT: 0.653% | GWEIUSDT: 0.650% | SCRUSDT: 0.630% | AXLUSDT: 0.616% | BIOUSDT: 0.578% | MINAUSDT: 0.572%
